fx,fy,fz,x,y,,,,,,,,,,
-1.896511827,1.980556797,1.539991834,1,3,,,,,,,,,,
-2.339372039,0.0506118,1.349690345,2,3,,,,,,,,,,
-4.561444064,-2.063297509,1.838136619,3,3,,,,,,,,,,
1.939372568,-0.59221561,1.224874655,4,3,,,,,,,,,,
-4.025184007,2.053747874,3.017486628,5,3,,,,,,,,,,
0.152101343,1.949953609,3.771116587,6,3,,,,,,,,,,
-2.046168344,3.03915174,3.290443708,7,3,,,,,,,,,,
-2.667607594,-1.131596616,1.365846194,8,3,,,,,,,,,,
-2.094328166,2.108559623,1.524401856,9,3,,,,,,,,,,
1.115488972,-0.867637363,2.359006629,10,3,,,,,,,,,,
4.534290452,0.266947222,2.11023485,11,3,,,,,,,,,,
0.7881805,-4.192188424,4.446412138,12,3,,,,,,,,,,
1.515558689,-4.810061328,2.674057633,13,3,,,,,,,,,,
-4.17687569,0.329125266,0.198885874,14,3,,,,,,,,,,
-0.634756331,-2.483983067,3.940187738,15,3,,,,,,,,,,
-1.062045842,-2.467112666,1.512229025,16,3,,,,,,,,,,
0.105392672,-1.863005825,1.161969173,17,3,,,,,,,,,,
-0.118468022,1.215852019,0.251771376,1,4,,,,,,,,,,
0.2196429,-4.40273377,5.20696179,2,4,,,,,,,,,,
1.80757773,4.885120843,1.474689773,3,4,,,,,,,,,,
3.941376192,-0.787424413,1.757074591,4,4,,,,,,,,,,
0.789134601,-1.788548412,0.995562819,5,4,,,,,,,,,,
0.296480405,3.801208951,0.025121649,6,4,,,,,,,,,,
-4.740684226,2.318965925,0.581549819,7,4,,,,,,,,,,
1.242234546,3.797674282,0.333970914,8,4,,,,,,,,,,
-0.906127843,1.34722582,0.49484165,9,4,,,,,,,,,,
2.744437856,-2.070674197,3.294140564,10,4,,,,,,,,,,
1.967908039,-3.005078015,3.071321593,11,4,,,,,,,,,,
-1.008212615,4.919379446,4.51630198,12,4,,,,,,,,,,
0.953977043,-2.111622579,0.4347493,13,4,,,,,,,,,,
3.668269607,-0.457016226,4.004103699,14,4,,,,,,,,,,
-0.482520482,0.273557033,1.835799208,15,4,,,,,,,,,,
-1.42975714,-1.879204709,5.174475511,16,4,,,,,,,,,,
1.77681727,-0.919203727,3.161684734,17,4,,,,,,,,,,
-1.947107771,1.666883868,2.06664869,1,5,,,,,,,,,,
-4.609791839,0.378957096,1.692110477,2,5,,,,,,,,,,
3.691815317,0.511157204,0.389477071,3,5,,,,,,,,,,
0.876152671,2.074203365,2.261233332,4,5,,,,,,,,,,
1.688622639,1.176653868,4.305682831,5,5,,,,,,,,,,
1.405335487,4.580773883,4.319112705,6,5,,,,,,,,,,
-3.06642464,-4.162035367,4.589682885,7,5,,,,,,,,,,
3.143926016,0.570728701,3.170880909,8,5,,,,,,,,,,
-1.815219131,3.826583804,0.252409413,9,5,,,,,,,,,,
2.615946623,4.093343544,2.748175469,10,5,,,,,,,,,,
1.654681335,4.324062541,0.342213997,11,5,,,,,,,,,,
3.412929048,3.481234552,1.90027616,12,5,,,,,,,,,,
-2.016871984,3.429714519,0.072618128,13,5,,,,,,,,,,
-4.62745762,-2.482482753,3.327813857,14,5,,,,,,,,,,
1.038780575,4.590024944,2.505998293,15,5,,,,,,,,,,
-4.737782643,-3.391580078,0.145676577,16,5,,,,,,,,,,
4.961585651,2.879305712,2.150716702,17,5,,,,,,,,,,
2.215749926,1.139454134,3.84501919,1,6,,,,,,,,,,
-4.347066388,1.794187823,0.571925518,2,6,,,,,,,,,,
2.195022421,-4.625767682,0.708761951,3,6,,,,,,,,,,
-4.5558816,3.35075125,0.761524341,4,6,,,,,,,,,,
-3.770517879,4.732919798,0.711348387,5,6,,,,,,,,,,
-1.442645242,2.60933643,3.69076995,6,6,,,,,,,,,,
-2.836848608,-2.315436347,3.430948166,7,6,,,,,,,,,,
4.155713262,-3.438692029,1.234856634,8,6,,,,,,,,,,
-4.914989087,-3.173673125,0.479368686,9,6,,,,,,,,,,
1.612767223,-4.974680338,2.727110533,10,6,,,,,,,,,,
2.648488722,-1.058635651,2.486242592,11,6,,,,,,,,,,
-3.754234578,0.121245027,2.156343765,12,6,,,,,,,,,,
-2.884610651,2.360657635,5.227002826,13,6,,,,,,,,,,
-4.709735606,-0.167090697,2.489492482,14,6,,,,,,,,,,
-3.778052039,3.916140585,5.035666179,15,6,,,,,,,,,,
3.727428619,-1.343087512,0.346450415,16,6,,,,,,,,,,
4.35780682,-0.334174174,0.059240937,17,6,,,,,,,,,,
-1.041831311,-0.523576578,1.09402653,1,1,,,,,,,,,,
-1.897767168,2.097795828,3.908386043,2,1,,,,,,,,,,
-2.683680584,-0.946303934,0.513084901,3,1,,,,,,,,,,
1.585667424,-3.36011391,2.324517765,4,1,,,,,,,,,,
-3.879251084,1.498244109,0.956768239,5,1,,,,,,,,,,
-3.284999047,1.711889691,4.147451398,6,1,,,,,,,,,,
-2.341289056,2.489343383,3.131224186,7,1,,,,,,,,,,
1.433025407,-2.672263698,3.109008795,8,1,,,,,,,,,,
-2.64027703,-2.805294672,4.564925176,9,1,,,,,,,,,,
-0.271467522,0.049395924,5.140347357,10,1,,,,,,,,,,
-2.974029116,-5.040729787,2.197754145,11,1,,,,,,,,,,
4.434763297,4.000811864,3.629613714,12,1,,,,,,,,,,
-0.029103338,4.006445157,3.27102553,13,1,,,,,,,,,,
-0.698566298,-2.439489422,1.538214512,14,1,,,,,,,,,,
3.299215803,1.350043709,4.436633028,15,1,,,,,,,,,,
-4.782926183,-2.664490319,1.281519454,16,1,,,,,,,,,,
1.03706673,-4.67423457,3.882218623,17,1,,,,,,,,,,
-1.196379902,-5.235970414,1.657329596,1,2,,,,,,,,,,
3.489864977,-0.492888541,2.099574182,2,2,,,,,,,,,,
-2.844739967,-0.547833307,4.400520389,3,2,,,,,,,,,,
2.545335538,1.194286014,0.26095832,4,2,,,,,,,,,,
-2.030534677,-4.183783413,4.776494146,5,2,,,,,,,,,,
-1.867280647,-3.263714432,4.171255269,6,2,,,,,,,,,,
-3.990120853,-0.013016397,4.47972908,7,2,,,,,,,,,,
-4.415560195,-3.59477712,3.582909021,8,2,,,,,,,,,,
2.234021424,-5.066973346,3.142606996,9,2,,,,,,,,,,
-1.820085952,1.974391073,1.931501282,10,2,,,,,,,,,,
-3.978539676,2.091111201,1.101223628,11,2,,,,,,,,,,
1.125976594,3.967934451,2.497454333,12,2,,,,,,,,,,
3.296995794,-4.393748001,0.150833318,13,2,,,,,,,,,,
-1.165725656,-4.743747115,3.797343539,14,2,,,,,,,,,,
2.335799482,2.318498169,1.19657172,15,2,,,,,,,,,,
0.02140889,1.868817497,4.444780025,16,2,,,,,,,,,,
-2.117965835,-2.508796162,3.500963794,17,2,,,,,,,,,,
0.63969703,-0.326130892,4.56785304,1,3,,,,,,,,,,
-4.280218923,4.442003076,1.228219724,2,3,,,,,,,,,,
0.247392502,-3.52828137,-0.063650812,3,3,,,,,,,,,,
5.005551676,-0.517815481,0.747172007,4,3,,,,,,,,,,
-4.621314192,-1.573329304,0.367222533,5,3,,,,,,,,,,
-0.832201282,2.145639859,2.11521085,6,3,,,,,,,,,,
1.214559488,-2.394320913,0.894214429,7,3,,,,,,,,,,
-4.193433757,4.828503898,1.058479295,8,3,,,,,,,,,,
2.171059689,1.973126993,1.981507163,9,3,,,,,,,,,,
-0.186665854,0.333995973,5.20031462,10,3,,,,,,,,,,
3.472260562,0.584082262,4.743156287,11,3,,,,,,,,,,
-3.624762875,-4.396136026,2.832747194,12,3,,,,,,,,,,
-4.129052832,2.272529827,0.711514349,13,3,,,,,,,,,,
1.029058473,-0.21717154,2.236829607,14,3,,,,,,,,,,
4.728360169,-0.598384462,1.665850946,15,3,,,,,,,,,,
2.596754842,0.66266948,1.655675887,16,3,,,,,,,,,,
-3.307876672,1.355253912,2.766870641,17,3,,,,,,,,,,
3.157247681,-4.621032147,1.373473479,1,4,,,,,,,,,,
-3.384981759,-1.171218708,0.813324463,2,4,,,,,,,,,,
-2.238515488,1.745981338,3.950918259,3,4,,,,,,,,,,
-4.95285938,-5.332873765,2.196228778,4,4,,,,,,,,,,
-2.341818063,5.062372545,3.087232352,5,4,,,,,,,,,,
0.443489521,3.495363326,0.299090698,6,4,,,,,,,,,,
0.92945878,-1.244677901,4.527955179,7,4,,,,,,,,,,
-3.306341148,-1.064772384,2.169634016,8,4,,,,,,,,,,
1.540298179,-1.753471732,1.741245922,9,4,,,,,,,,,,
4.263585983,3.373454318,1.167883378,10,4,,,,,,,,,,
0.1057991,4.332913642,0.881563347,11,4,,,,,,,,,,
-1.942966756,0.798347936,1.869424031,12,4,,,,,,,,,,
-4.473314823,1.96157786,1.385337217,13,4,,,,,,,,,,
0.945266437,-1.5658095,2.612551937,14,4,,,,,,,,,,
-0.310950988,-1.519050309,0.768619459,15,4,,,,,,,,,,
1.563815764,-2.486275063,3.819266894,16,4,,,,,,,,,,
-2.373042967,-0.788643905,3.572821064,17,4,,,,,,,,,,
1.076507266,-0.45196966,3.536545271,1,5,,,,,,,,,,
-2.002594458,4.519660305,2.56864434,2,5,,,,,,,,,,
0.226892192,-3.076152263,0.707036673,3,5,,,,,,,,,,
4.623534169,0.177362608,4.267435901,4,5,,,,,,,,,,
3.242757953,-1.872478866,3.906947846,5,5,,,,,,,,,,
-0.149976707,4.933219422,3.599214837,6,5,,,,,,,,,,
1.798814291,4.872866544,4.098556952,7,5,,,,,,,,,,
2.644398128,-2.155748172,0.35932794,8,5,,,,,,,,,,
-0.675045292,1.721533504,2.477338405,9,5,,,,,,,,,,
2.11091872,-4.410351187,4.596941287,10,5,,,,,,,,,,
1.051952604,-1.145869057,3.136306616,11,5,,,,,,,,,,
5.158010503,4.349658569,0.300214633,12,5,,,,,,,,,,
-1.801764561,-2.667526146,4.390472172,13,5,,,,,,,,,,
-2.5574211,-0.245889312,2.227846507,14,5,,,,,,,,,,
-3.322938578,-0.611830155,0.984730391,15,5,,,,,,,,,,
-3.121181831,2.375575276,-0.206488098,16,5,,,,,,,,,,
1.661347936,2.068023618,2.829781607,17,5,,,,,,,,,,
5.03111765,-1.358540272,4.711474228,1,6,,,,,,,,,,
4.09602897,-1.299680525,3.163212547,2,6,,,,,,,,,,
-4.479604878,-1.402202062,0.586717993,3,6,,,,,,,,,,
3.773395146,3.903040725,3.935249831,4,6,,,,,,,,,,
4.039250639,1.15654843,1.003466881,5,6,,,,,,,,,,
-2.470360398,-3.448688468,4.19932833,6,6,,,,,,,,,,
1.594914137,4.772620666,2.101843419,7,6,,,,,,,,,,
-4.553331725,3.053362078,0.655677426,8,6,,,,,,,,,,
-0.265992788,-2.493774721,1.305161287,9,6,,,,,,,,,,
5.13454997,2.181393138,3.865948495,10,6,,,,,,,,,,
-0.053206098,0.577373555,4.22634698,11,6,,,,,,,,,,
-0.370486776,-1.688096273,3.72608209,12,6,,,,,,,,,,
3.235661103,-0.577680418,2.392327517,13,6,,,,,,,,,,
-2.835051083,0.005243677,0.681125687,14,6,,,,,,,,,,
3.782954816,-1.411336696,0.845227266,15,6,,,,,,,,,,
-1.373560099,-0.70480847,-0.244144493,16,6,,,,,,,,,,
0.244339143,-4.256012451,4.166700674,17,6,,,,,,,,,,
-5.221998785,0.081190379,1.233317293,1,1,,,,,,,,,,
5.209040174,-4.976419415,3.741125249,2,1,,,,,,,,,,
4.718513974,-1.26126353,4.544014974,3,1,,,,,,,,,,
2.275359042,-3.039530326,0.777826608,4,1,,,,,,,,,,
-3.345901966,3.804828233,0.588233418,5,1,,,,,,,,,,
-5.000715339,-4.173915019,2.182552455,6,1,,,,,,,,,,
-1.077550166,3.653103977,2.144055922,7,1,,,,,,,,,,
2.732750451,3.518178837,1.15188886,8,1,,,,,,,,,,
1.510728287,-4.248276271,2.061905372,9,1,,,,,,,,,,
-3.899926453,4.144840441,0.995782676,10,1,,,,,,,,,,
3.247044206,-3.746137044,0.151498874,11,1,,,,,,,,,,
0.655508054,-5.182674525,0.913548387,12,1,,,,,,,,,,
-0.470902404,1.835853814,3.774999459,13,1,,,,,,,,,,
-4.750101935,-2.74384957,1.738174639,14,1,,,,,,,,,,
-2.108618838,-0.090134956,0.11754969,15,1,,,,,,,,,,
-3.659075944,-3.078858007,0.207584372,16,1,,,,,,,,,,
2.673851549,-3.738687096,0.038565013,17,1,,,,,,,,,,
0.473431158,-0.830970999,3.841931261,1,2,,,,,,,,,,
-1.557595873,-2.411055081,4.125688054,2,2,,,,,,,,,,
-1.611448113,-3.587540155,1.815653847,3,2,,,,,,,,,,
-3.004553493,2.158808661,2.66191929,4,2,,,,,,,,,,
-4.399789769,-2.873057277,0.582846023,5,2,,,,,,,,,,
2.094025535,0.87843497,-0.206724461,6,2,,,,,,,,,,
1.177592118,1.383290089,4.632157959,7,2,,,,,,,,,,
5.158018575,-4.417379541,0.923720201,8,2,,,,,,,,,,
-0.846816358,-2.791009121,4.602833917,9,2,,,,,,,,,,
3.38062602,-4.296652871,3.985580862,10,2,,,,,,,,,,
-2.882204061,0.410398982,0.657337343,11,2,,,,,,,,,,
-2.777996765,0.589058886,3.215802491,12,2,,,,,,,,,,
2.878021772,4.379180906,1.786132038,13,2,,,,,,,,,,
-3.352456291,-3.430765205,0.729064754,14,2,,,,,,,,,,
-2.644203394,0.496247459,3.017771593,15,2,,,,,,,,,,
4.438220671,0.360548108,4.297858154,16,2,,,,,,,,,,
-2.608339186,-0.377894124,-0.006112346,17,2,,,,,,,,,,
-1.034729992,1.418016712,0.678035207,1,3,,,,,,,,,,
-5.047565151,-2.827054261,3.999237483,2,3,,,,,,,,,,
-0.77908706,-3.900557044,3.017510162,3,3,,,,,,,,,,
-1.024390768,4.312046758,3.80631422,4,3,,,,,,,,,,
-2.515083414,2.261235598,4.012217032,5,3,,,,,,,,,,
-0.676391125,-2.835784377,4.794116306,6,3,,,,,,,,,,
4.769986225,0.010039062,3.692248255,7,3,,,,,,,,,,
2.780378834,2.085591876,1.969446151,8,3,,,,,,,,,,
-0.230749802,1.9877276,2.280835301,9,3,,,,,,,,,,
0.826753108,4.629886029,1.36185002,10,3,,,,,,,,,,
4.188362974,2.420343947,4.662631931,11,3,,,,,,,,,,
-4.718479169,-3.742111668,1.869482934,12,3,,,,,,,,,,
2.264741024,1.267065812,2.112927792,13,3,,,,,,,,,,
-4.038781343,-2.844532193,3.188596473,14,3,,,,,,,,,,
-2.235149777,-4.523547516,3.256710463,15,3,,,,,,,,,,
4.016908278,3.03089154,2.906707541,16,3,,,,,,,,,,
4.762024476,-3.720851625,3.153838655,17,3,,,,,,,,,,
-4.155703008,0.997283509,3.519656325,1,4,,,,,,,,,,
2.177095708,2.955248003,0.919299542,2,4,,,,,,,,,,
4.143607462,-2.496945925,3.96478282,3,4,,,,,,,,,,
-2.330205257,2.732854025,1.788303924,4,4,,,,,,,,,,
4.874222194,4.425982475,1.16862456,5,4,,,,,,,,,,
-3.600540292,1.102012241,0.24341773,6,4,,,,,,,,,,
2.51210349,0.922657304,1.436334512,7,4,,,,,,,,,,
1.06718268,-4.308230646,2.256926732,8,4,,,,,,,,,,
-0.695236754,3.610074142,2.100110298,9,4,,,,,,,,,,
1.002398742,-0.872989544,4.101418727,10,4,,,,,,,,,,
0.340331653,1.554966306,4.805254798,11,4,,,,,,,,,,
2.811300796,4.377867718,1.015111023,12,4,,,,,,,,,,
-4.13376473,4.361918216,0.904492719,13,4,,,,,,,,,,
-1.299427588,-4.882550388,2.323670798,14,4,,,,,,,,,,
-1.767563984,3.311278356,2.970887765,15,4,,,,,,,,,,
2.744486597,-4.772310077,2.499630006,16,4,,,,,,,,,,
-0.844832793,-1.052182847,4.370081292,17,4,,,,,,,,,,
1.873938094,1.488010329,0.560013853,1,5,,,,,,,,,,
2.754201297,-1.22907114,3.764508092,2,5,,,,,,,,,,
-4.663080514,1.181075285,0.300819918,3,5,,,,,,,,,,
-0.658440793,4.519275631,4.780083521,4,5,,,,,,,,,,
-1.242178763,4.164748089,4.214303789,5,5,,,,,,,,,,
-2.697601161,4.374668715,0.987744603,6,5,,,,,,,,,,
-0.823183042,-0.371794182,0.42301818,7,5,,,,,,,,,,
-4.390087906,-0.76995585,3.74049974,8,5,,,,,,,,,,
-2.297988742,-0.119536984,1.934738806,9,5,,,,,,,,,,
3.381400294,-3.348767056,1.223614379,10,5,,,,,,,,,,
-2.183380146,-4.909848217,4.327230232,11,5,,,,,,,,,,
1.274696845,1.149337583,0.938962909,12,5,,,,,,,,,,s
-4.569522067,-0.555847469,0.685530224,13,5,,,,,,,,,,
-4.468476827,0.570020221,2.273149741,14,5,,,,,,,,,,
1.833143838,3.213186243,1.840356792,15,5,,,,,,,,,,
3.905876342,3.745365376,2.606876163,16,5,,,,,,,,,,
-1.750922475,0.213401508,1.413164539,17,5,,,,,,,,,,
-3.349613465,4.020759563,3.750497997,1,6,,,,,,,,,,
-2.532435676,4.213616314,3.827896392,2,6,,,,,,,,,,
-0.901146473,0.586623004,2.512068408,3,6,,,,,,,,,,
0.83504016,-3.277142669,2.029313544,4,6,,,,,,,,,,
-1.673117106,-4.684100591,0.551656765,5,6,,,,,,,,,,
-4.927889598,-4.842597911,4.441301901,6,6,,,,,,,,,,
-3.394053625,-3.624201842,1.525462667,7,6,,,,,,,,,,
2.994122809,5.178551591,0.346097108,8,6,,,,,,,,,,
4.004656163,4.571684276,3.472538035,9,6,,,,,,,,,,
-0.35237113,-4.693517038,2.767461192,10,6,,,,,,,,,,
4.101393145,4.222104574,1.952778466,11,6,,,,,,,,,,
-0.067697171,4.775926803,4.320198044,12,6,,,,,,,,,,
-1.449138732,4.001218887,-0.166283115,13,6,,,,,,,,,,
3.978047265,1.397915543,1.61569694,14,6,,,,,,,,,,
-0.359634367,-0.267973497,3.365139042,15,6,,,,,,,,,,
4.476791207,-1.826030068,3.688696919,16,6,,,,,,,,,,
-3.742197622,4.250706478,1.467521866,17,6,,,,,,,,,,
-1.643453024,-1.585494775,1.596284571,1,7,,,,,,,,,,
4.665185867,-1.632154818,-0.295051363,2,7,,,,,,,,,,
0.176234558,1.447182949,4.074617377,3,7,,,,,,,,,,
0.992565959,1.831247508,2.142700852,4,7,,,,,,,,,,
-2.841230746,3.778371777,1.667635184,5,7,,,,,,,,,,
4.660960578,1.897459406,2.803501009,6,7,,,,,,,,,,
0.704414659,-2.445545752,0.782940162,7,7,,,,,,,,,,
-2.09714001,0.646083992,1.330864771,8,7,,,,,,,,,,
-3.126010894,3.874903204,4.591886086,9,7,,,,,,,,,,
1.110664271,2.539297717,2.132475945,10,7,,,,,,,,,,
-2.953988061,4.644656793,4.192262669,11,7,,,,,,,,,,
3.299187605,1.117394253,0.358613212,12,7,,,,,,,,,,
-3.218336309,3.379259398,3.506614113,13,7,,,,,,,,,,
-4.377952419,3.343243391,4.677295603,14,7,,,,,,,,,,
-0.106669871,-5.171997983,3.174761014,15,7,,,,,,,,,,
-0.027185748,1.551106744,0.239933444,16,7,,,,,,,,,,
-4.091594955,-1.210104907,2.486680612,17,7,,,,,,,,,,
-2.913597313,-2.207937811,0.706117527,1,8,,,,,,,,,,
3.301417064,1.393751867,0.355514268,2,8,,,,,,,,,,
4.125033777,2.834120385,5.142941369,3,8,,,,,,,,,,
2.746992496,3.443483733,3.00922128,4,8,,,,,,,,,,
-3.479881538,-0.060336273,1.815606716,5,8,,,,,,,,,,
0.777129129,-4.271847017,0.869573483,6,8,,,,,,,,,,
4.238708899,-4.633597961,4.806186489,7,8,,,,,,,,,,
4.192910849,0.55206938,1.054664615,8,8,,,,,,,,,,
-4.137457854,1.216131305,4.111859708,9,8,,,,,,,,,,
4.109107837,-4.317727046,0.579573416,10,8,,,,,,,,,,
-1.658863998,-2.949382952,0.859238854,11,8,,,,,,,,,,
3.175568391,3.868283653,0.927339452,12,8,,,,,,,,,,
-3.846218449,1.893384645,1.128610501,13,8,,,,,,,,,,
4.942872975,-0.452711542,3.082835938,14,8,,,,,,,,,,
-1.966969168,0.180878956,3.475554607,15,8,,,,,,,,,,
-3.240869283,-4.183204686,0.566744752,16,8,,,,,,,,,,
-2.298644639,2.97635609,0.448717899,17,8,,,,,,,,,,
4.371399076,-3.014761337,1.682637208,1,9,,,,,,,,,,
-4.286734377,-3.682278784,2.502578022,2,9,,,,,,,,,,
5.003233223,3.96229812,5.033514358,3,9,,,,,,,,,,
-1.89494387,-3.730820904,4.444020277,4,9,,,,,,,,,,
4.420374449,-0.345349512,3.455698574,5,9,,,,,,,,,,
-4.195423523,2.523592002,4.613271043,6,9,,,,,,,,,,
0.389851527,5.046771631,1.870440323,7,9,,,,,,,,,,
-1.217797602,-0.195616513,4.48706361,8,9,,,,,,,,,,
-3.452886234,1.831282487,3.566751678,9,9,,,,,,,,,,
-2.576750792,-4.171706046,2.553852728,10,9,,,,,,,,,,
-0.443564238,0.461075988,3.593672443,11,9,,,,,,,,,,
1.864414314,-2.41843773,4.542319999,12,9,,,,,,,,,,
-2.012124061,3.104308559,2.741238827,13,9,,,,,,,,,,
-0.637020119,3.372760229,2.15810775,14,9,,,,,,,,,,
2.068387971,-3.617420697,3.624050105,15,9,,,,,,,,,,
-2.361494944,-1.1327269,2.942374537,16,9,,,,,,,,,,
0.475032903,1.303514345,4.706283559,17,9,,,,,,,,,,
0.700959206,-2.911486091,1.870849477,1,10,,,,,,,,,,
-4.813208155,-2.11489394,1.364814533,2,10,,,,,,,,,,
3.557839872,-0.664413894,0.502965831,3,10,,,,,,,,,,
-2.069337857,-1.57668337,4.36922441,4,10,,,,,,,,,,
1.735292246,-1.974631581,0.511928221,5,10,,,,,,,,,,
-3.729750505,-1.660763851,2.920352689,6,10,,,,,,,,,,
-1.295290744,-0.913641075,1.41735525,7,10,,,,,,,,,,
2.206362444,-0.152322892,2.215574615,8,10,,,,,,,,,,
3.629390473,4.1443057,2.209936509,9,10,,,,,,,,,,
0.813051717,-2.408021244,0.04367086,10,10,,,,,,,,,,
-0.871271931,2.725702626,2.338285144,11,10,,,,,,,,,,
-3.159738691,-3.50704427,0.604368516,12,10,,,,,,,,,,
-4.35958912,-2.364792583,4.915320809,13,10,,,,,,,,,,
-3.915975891,4.785698292,3.335261887,14,10,,,,,,,,,,
-0.296528583,-3.441556141,0.419499654,15,10,,,,,,,,,,
-0.336199056,3.666383892,0.685919998,16,10,,,,,,,,,,
-0.001603498,2.0280375,1.921652447,17,10,,,,,,,,,,
2.16808509,-2.325241086,5.113406247,1,11,,,,,,,,,,
2.727925526,-2.952281586,1.287243311,2,11,,,,,,,,,,
-2.363719618,0.254024431,1.496980025,3,11,,,,,,,,,,
0.122566712,1.7134773,2.751733401,4,11,,,,,,,,,,
0.386253625,-1.460862725,3.086560171,5,11,,,,,,,,,,
2.115115928,-4.196452141,0.303277446,6,11,,,,,,,,,,
0.411702983,1.580180471,4.422357459,7,11,,,,,,,,,,
-3.673964908,-1.386246131,4.26007149,8,11,,,,,,,,,,
-0.080564209,-2.844205095,2.94587653,9,11,,,,,,,,,,
-5.274558482,-4.36751772,3.533086349,10,11,,,,,,,,,,
1.113173367,-1.378666189,0.185161981,11,11,,,,,,,,,,
1.905164868,-2.246927728,4.479943466,12,11,,,,,,,,,,
-0.464134505,4.026509384,3.338728199,13,11,,,,,,,,,,
-1.36799627,3.5277521,4.725723419,14,11,,,,,,,,,,
2.380093947,0.260563644,1.599288193,15,11,,,,,,,,,,
-1.674557401,0.624363528,3.613716144,16,11,,,,,,,,,,
2.92377241,2.605738995,2.59948214,17,11,,,,,,,,,,
-2.21159418,4.47488661,4.776681043,1,12,,,,,,,,,,
-3.343656117,-4.074866983,3.420930795,2,12,,,,,,,,,,
-3.899710999,1.446116319,3.404331841,3,12,,,,,,,,,,
0.517845326,2.21463905,2.50245704,4,12,,,,,,,,,,
-2.984856043,4.848701285,0.783267015,5,12,,,,,,,,,,
1.416684328,-0.521207348,1.455254358,6,12,,,,,,,,,,
0.327677173,-3.360896926,0.799833159,7,12,,,,,,,,,,
1.580564339,3.364109334,1.745434471,8,12,,,,,,,,,,
0.673572543,-3.159553669,0.250139534,9,12,,,,,,,,,,
-3.842049293,3.300356854,2.370900398,10,12,,,,,,,,,,
2.291862002,2.2461927,3.428445295,11,12,,,,,,,,,,
4.950639989,-3.948885143,1.19082395,12,12,,,,,,,,,,
-4.649155475,-0.741380578,0.332360791,13,12,,,,,,,,,,
2.799550302,-0.928767982,4.480438638,14,12,,,,,,,,,,
1.295274065,3.764347086,1.787509043,15,12,,,,,,,,,,
-3.549962051,2.469045963,2.072135132,16,12,,,,,,,,,,
-0.730996272,1.321432678,0.552175297,17,12,,,,,,,,,,
-3.033276639,3.897783577,2.971452614,1,13,,,,,,,,,,
-3.651216001,-1.344756231,2.183648037,2,13,,,,,,,,,,
-3.772653175,1.716880385,0.433150448,3,13,,,,,,,,,,
-1.491694725,4.428720726,0.530271415,4,13,,,,,,,,,,
0.444382579,3.689732606,2.002082077,5,13,,,,,,,,,,
4.451630702,0.089104136,4.669760293,6,13,,,,,,,,,,
4.06293472,2.361341695,0.858983137,7,13,,,,,,,,,,
4.704318033,-1.360689829,3.419520381,8,13,,,,,,,,,,
-1.505268063,3.545364053,4.613645,9,13,,,,,,,,,,
0.334950762,-1.06512613,2.002925928,10,13,,,,,,,,,,
1.899319325,-2.532003808,1.350704894,11,13,,,,,,,,,,
-4.054190534,-2.390491585,3.626474323,12,13,,,,,,,,,,
4.359649252,-0.305081265,1.356147031,13,13,,,,,,,,,,
-0.710137427,3.032537124,2.132067238,14,13,,,,,,,,,,
